PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,PROMPT,HIGHLIGHTS,UNIMPORTANT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY
eee,text-to-prompt,0,eeeeeeeeeeeeeeeeeeeeeeeeeee,"[6,9]","",0,1749555319280,1749555320630,e,69, Never
eee,text-to-prompt,0,eeeeeeeeeeeeeeeeeeeeeeeeeee,"[6,9]","",1,1749555319788,0,e,69, Never
eee,text-to-prompt,0,eeeeeeeeeeeeeeeeeeeeeeeeeee,"[6,9]","",2,1749555319819,0,e,69, Never
eee,text-to-prompt,0,eeeeeeeeeeeeeeeeeeeeeeeeeee,"[6,9]","",3,1749555319850,0,e,69, Never
eee,text-to-prompt,0,eeeeeeeeeeeeeeeeeeeeeeeeeee,"[6,9]","",4,1749555319882,0,e,69, Never
eee,text-to-prompt,0,eeeeeeeeeeeeeeeeeeeeeeeeeee,"[6,9]","",5,1749555319928,0,e,69, Never
eee,text-to-prompt,0,eeeeeeeeeeeeeeeeeeeeeeeeeee,"[6,9]","",6,1749555319958,0,e,69, Never
eee,text-to-prompt,0,eeeeeeeeeeeeeeeeeeeeeeeeeee,"[6,9]","",7,1749555319989,0,e,69, Never
eee,text-to-prompt,0,eeeeeeeeeeeeeeeeeeeeeeeeeee,"[6,9]","",8,1749555320020,0,e,69, Never
eee,text-to-prompt,0,eeeeeeeeeeeeeeeeeeeeeeeeeee,"[6,9]","",9,1749555320051,0,e,69, Never
eee,text-to-prompt,0,eeeeeeeeeeeeeeeeeeeeeeeeeee,"[6,9]","",10,1749555320082,0,e,69, Never
eee,text-to-prompt,0,eeeeeeeeeeeeeeeeeeeeeeeeeee,"[6,9]","",11,1749555320114,0,e,69, Never
eee,text-to-prompt,0,eeeeeeeeeeeeeeeeeeeeeeeeeee,"[6,9]","",12,1749555320146,0,e,69, Never
eee,text-to-prompt,0,eeeeeeeeeeeeeeeeeeeeeeeeeee,"[6,9]","",13,1749555320194,0,e,69, Never
eee,text-to-prompt,0,eeeeeeeeeeeeeeeeeeeeeeeeeee,"[6,9]","",14,1749555320224,0,e,69, Never
eee,text-to-prompt,0,eeeeeeeeeeeeeeeeeeeeeeeeeee,"[6,9]","",15,1749555320255,0,e,69, Never
eee,text-to-prompt,0,eeeeeeeeeeeeeeeeeeeeeeeeeee,"[6,9]","",16,1749555320287,0,e,69, Never
eee,text-to-prompt,0,eeeeeeeeeeeeeeeeeeeeeeeeeee,"[6,9]","",17,1749555320318,0,e,69, Never
eee,text-to-prompt,0,eeeeeeeeeeeeeeeeeeeeeeeeeee,"[6,9]","",18,1749555320349,0,e,69, Never
eee,text-to-prompt,0,eeeeeeeeeeeeeeeeeeeeeeeeeee,"[6,9]","",19,1749555320379,0,e,69, Never
eee,text-to-prompt,0,eeeeeeeeeeeeeeeeeeeeeeeeeee,"[6,9]","",20,1749555320418,0,e,69, Never
eee,text-to-prompt,0,eeeeeeeeeeeeeeeeeeeeeeeeeee,"[6,9]","",21,1749555320442,0,e,69, Never
eee,text-to-prompt,0,eeeeeeeeeeeeeeeeeeeeeeeeeee,"[6,9]","",22,1749555320488,0,e,69, Never
eee,text-to-prompt,0,eeeeeeeeeeeeeeeeeeeeeeeeeee,"[6,9]","",23,1749555320520,0,e,69, Never
eee,text-to-prompt,0,eeeeeeeeeeeeeeeeeeeeeeeeeee,"[6,9]","",24,1749555320551,0,e,69, Never
eee,text-to-prompt,0,eeeeeeeeeeeeeeeeeeeeeeeeeee,"[6,9]","",25,1749555320581,0,e,69, Never
eee,text-to-prompt,0,eeeeeeeeeeeeeeeeeeeeeeeeeee,"[6,9]","",26,1749555320612,0,e,69, Never
